Método,Modelo,Batch,Clientes,Accuracy μ,Accuracy σ,Precision μ,Precision σ,Recall μ,Recall σ,F1 μ,F1 σ,AUC μ,AUC σ
FedAvg,DenseNet169,32,3,0.9890,0.0125,0.9905,0.0083,0.9868,0.0187,0.9885,0.0138,0.9967,0.0057
FedAvg,DenseNet169,32,5,0.9815,0.0144,0.9785,0.0173,0.9799,0.0196,0.9791,0.0185,0.9988,0.0016
FedAvg,DenseNet169,32,7,0.9827,0.0101,0.9847,0.0048,0.9797,0.0158,0.9819,0.0106,0.9990,0.0012
FedAvg,DenseNet169,64,3,0.9804,0.0211,0.9827,0.0147,0.9772,0.0275,0.9796,0.0215,0.9932,0.0114
FedAvg,DenseNet169,64,5,0.9800,0.0074,0.9810,0.0066,0.9788,0.0098,0.9798,0.0081,0.9989,0.0010
FedAvg,DenseNet169,64,7,0.9777,0.0127,0.9771,0.0098,0.9746,0.0199,0.9756,0.0149,0.9971,0.0042
FedAvg,ResNet50,32,3,0.9838,0.0079,0.9821,0.0111,0.9823,0.0121,0.9819,0.0097,0.9994,0.0006
FedAvg,ResNet50,32,5,0.9815,0.0144,0.9763,0.0211,0.9807,0.0177,0.9784,0.0192,0.9945,0.0085
FedAvg,ResNet50,32,7,0.9614,0.0106,0.9576,0.0148,0.9564,0.0147,0.9563,0.0138,0.9975,0.0020
FedAvg,ResNet50,64,3,0.9861,0.0109,0.9811,0.0126,0.9828,0.0168,0.9836,0.0145,0.9967,0.0054
FedAvg,ResNet50,64,5,0.9659,0.0104,0.9588,0.0181,0.9651,0.0126,0.9642,0.0171,0.9949,0.0056
FedAvg,ResNet50,64,7,0.9363,0.0087,0.9421,0.0173,0.9251,0.0111,0.9323,0.0121,0.9888,0.0062
FedProx,DenseNet169,32,3,0.9854,0.0145,0.9886,0.0177,0.9761,0.0209,0.9870,0.0195,0.9950,0.0082
FedProx,DenseNet169,32,5,0.9864,0.0109,0.9867,0.0108,0.9827,0.0161,0.9845,0.0134,0.9964,0.0061
FedProx,DenseNet169,32,7,0.9756,0.0107,0.9754,0.0149,0.9687,0.0138,0.9717,0.0134,0.9916,0.0092
FedProx,DenseNet169,64,3,0.9878,0.0145,0.9883,0.0129,0.9842,0.0199,0.9861,0.0165,0.9986,0.0024
FedProx,DenseNet169,64,5,0.9815,0.0128,0.9812,0.0110,0.9787,0.0178,0.9797,0.0142,0.9994,0.0008
FedProx,DenseNet169,64,7,0.9626,0.0161,0.9552,0.0216,0.9650,0.0156,0.9595,0.0178,0.9927,0.0116
FedProx,ResNet50,32,3,0.9926,0.0073,0.9935,0.0057,0.9888,0.0136,0.9910,0.0096,0.9996,0.0006
FedProx,ResNet50,32,5,0.9789,0.0118,0.9758,0.0152,0.9763,0.0153,0.9760,0.0153,0.9968,0.0050
FedProx,ResNet50,32,7,0.9789,0.0071,0.9760,0.0040,0.9761,0.0168,0.9758,0.0103,0.9961,0.0050
FedProx,ResNet50,64,3,0.9650,0.0137,0.9617,0.0139,0.9533,0.0140,0.9570,0.0137,0.9914,0.0066
FedProx,ResNet50,64,5,0.8925,0.0639,0.8832,0.0737,0.8980,0.0497,0.8841,0.0724,0.9746,0.0300
FedProx,ResNet50,64,7,0.8889,0.0117,0.8854,0.0124,0.8813,0.0180,0.8829,0.0149,0.9742,0.0099